广东德尔智慧科技,民营,150-500人,2023-03-26 18:00:11,PLC自控工程师,宜宾,"['5-7年', '大专', '自动化', '电气自动化', '电气设计', '自动控制', '三菱', '西门子', '自控', '台达', '净化', 'cad', '五险一金', '交通补贴', '餐饮补贴', '出国机会', '绩效奖金', '通讯补贴']",1-1.5万·13薪,https://jobs.51job.com/all/coVDFVMARlAThUNgNhXDg.html
四川航天凌跃科技,民营,少于50人,2023-04-11 18:00:13,PLC工程师,成都·龙泉驿区,"['3-4年', '大专', 'PLC', '编程', '电气工程师', '五险一金', '餐饮补贴', '绩效奖金']",6千-1万,https://jobs.51job.com/all/coBmRdMARiVW4HZgZjAWU.html
四川安井食品,民营,500-1000人,2023-03-27 17:00:19,PLC工程师,资阳,"['2年', '大专', '五险一金', '包住宿', '高温补贴', '年终奖金']",6-9千,https://jobs.51job.com/all/coVTYBYFA6BDxWMQBlAWw.html
重庆智能机器人研究院,事业单位,50-150人,2022-10-08 14:44:50,电气工程师（PLC),重庆·北碚区,"['2年', '本科', '周末双休', '带薪年假', '五险一金', '绩效奖金', '节日福利', '餐饮补贴', '通讯补贴', '高温补贴', '婚育津贴', '年度旅游']",7-8.5千,https://jobs.51job.com/all/coCGoBY1U0Vm8EZFcxVzo.html
成都晟海航天通信技术,民营,少于50人,2023-02-28 13:00:16,PLC工程师,成都·成华区,"['3-4年', '大专', '五险一金', '员工旅游', '交通补贴', '餐饮补贴', '年终奖金']",8千-1.6万·13薪,https://jobs.51job.com/all/coUjIBYAJoAzsCZQxqBmE.html
重庆领联智能科技,民营,少于50人,2023-03-12 09:00:14,PLC上位机开发工程师,重庆·巴南区,"['1年', '大专', 'sqlserver', 'PLC', '五险', '周末双休']",8千-1.2万,https://jobs.51job.com/all/coAGAGYgVvBDlUNwxpUDM.html
"西门子（中国）有限公司成都分公司Siemens Ltd. China, Chengdu Branch",,150-500人,2022-09-17 14:00:21,西门子 成都研发中心 产品负责人-PLC,成都,"['3-4年', '本科', '免费班车', '年终奖金', '弹性工作']",2-2.5万,https://jobs.51job.com/all/coAmVVNlA6ADwHYlA3.html
成都博润传智信息技术,民营,50-150人,2023-04-05 15:00:12,工业自动化/PLC,成都·青羊区,"['2年', '大专', '电气', '维护', '电子', '调试', 'plc', '现场调试', '保养', 'plc编程', '五险一金', '员工旅游', '交通补贴', '年终奖金', '绩效奖金', '专业培训', '弹性工作', '定期体检']",4-7千,https://jobs.51job.com/all/coUzJXMAVuBTpRNABkUTU.html
捷普集团-捷普科技（成都）,外资（欧美）,10000人以上,2022-12-13 10:00:17,PLC开发工程师,成都,"['3-4年', '本科', '五险一金', '定期体检', '年终奖金', '专业培训', '免费班车', '餐饮补贴', '绩效奖金']",8千-1.5万,https://jobs.51job.com/all/coB2JUMlc8AT1RPQBgBWc.html
河北载仁建筑工程,民营,150-500人,2022-09-20 18:00:11,plc工程师-应届,贵阳·云岩区,"['无需经验', '大专', '电子', '建筑', '给排水', '暖通', '电气', '电工', '五险一金', '补充医疗保险', '补充公积金', '交通补贴', '绩效奖金', '餐饮补贴', '通讯补贴', '专业培训', '年终奖金', '定期体检']",7.5-9千,https://jobs.51job.com/all/coB2dQMlAyUWpUNgxpXD4.html
重庆拓新控股（集团）,民营,500-1000人,2023-03-31 09:00:19,PLC电气工程师,重庆·荣昌区,"['5-7年', '本科', 'PLC', '五险一金', '年终奖金', '双休']",1.2-2.4万,https://jobs.51job.com/all/coBGEBZwRuVGlVMwJjAmE.html
